config,top_area_um2,top_area_mm2,status,tag
INT8_E4M3_UE8M0_vec4,4086.054,0.0040860539999999996,OK,260408-195228_INT8_E4M3_UE8M0_vec4
INT8_E5M2_UE2M6_vec16,22777.902,0.022777901999999996,OK,260408-195235_INT8_E5M2_UE2M6_vec16
INT8_E5M2_UE2M6_vec32,45455.886,0.045455885999999994,OK,260408-195242_INT8_E5M2_UE2M6_vec32
INT8_E5M2_UE2M6_vec4,5769.414,0.005769414,OK,260408-195250_INT8_E5M2_UE2M6_vec4
INT8_E5M2_UE4M4_vec16,20415.15,0.02041515,OK,260408-195257_INT8_E5M2_UE4M4_vec16
INT8_E5M2_UE4M4_vec32,40730.382,0.040730381999999996,OK,260408-195305_INT8_E5M2_UE4M4_vec32
INT8_E5M2_UE4M4_vec4,5178.726,0.005178726,OK,260408-195312_INT8_E5M2_UE4M4_vec4
INT8_E5M2_UE6M2_vec16,17943.534,0.017943534,OK,260408-195320_INT8_E5M2_UE6M2_vec16
INT8_E5M2_UE6M2_vec32,35787.15,0.03578715,OK,260408-195327_INT8_E5M2_UE6M2_vec32
INT8_E5M2_UE6M2_vec4,4560.822,0.004560822,OK,260408-195335_INT8_E5M2_UE6M2_vec4
INT8_E5M2_UE8M0_vec16,15796.494,0.015796494,OK,260408-195342_INT8_E5M2_UE8M0_vec16
INT8_E5M2_UE8M0_vec32,31493.07,0.03149307,OK,260408-195349_INT8_E5M2_UE8M0_vec32
INT8_E5M2_UE8M0_vec4,4024.062,0.004024062,OK,260408-195356_INT8_E5M2_UE8M0_vec4
INT8_INT8_UE2M6_vec16,27283.662,0.027283662,OK,260408-195403_INT8_INT8_UE2M6_vec16
INT8_INT8_UE2M6_vec32,54467.406,0.054467406,OK,260408-195411_INT8_INT8_UE2M6_vec32
INT8_INT8_UE2M6_vec4,6895.854,0.006895854,OK,260408-195419_INT8_INT8_UE2M6_vec4
INT8_INT8_UE4M4_vec16,23465.358,0.023465358,OK,260408-195427_INT8_INT8_UE4M4_vec16
INT8_INT8_UE4M4_vec32,46830.798,0.046830798,OK,260408-195435_INT8_INT8_UE4M4_vec32
INT8_INT8_UE4M4_vec4,5941.278,0.005941278,OK,260408-195442_INT8_INT8_UE4M4_vec4
INT8_INT8_UE6M2_vec16,20358.702,0.020358702,OK,260408-195450_INT8_INT8_UE6M2_vec16
INT8_INT8_UE6M2_vec32,40617.486,0.040617485999999994,OK,260408-195458_INT8_INT8_UE6M2_vec32
INT8_INT8_UE6M2_vec4,5164.614,0.005164614,OK,260408-195505_INT8_INT8_UE6M2_vec4
INT8_INT8_UE8M0_vec16,16919.406,0.016919405999999998,OK,260408-195512_INT8_INT8_UE8M0_vec16
INT8_INT8_UE8M0_vec32,33738.894,0.033738894,OK,260408-195519_INT8_INT8_UE8M0_vec32
INT8_INT8_UE8M0_vec4,4304.79,0.00430479,OK,260408-195527_INT8_INT8_UE8M0_vec4
