net,length_um
accumulator.io_inMant\[1\],33.86
accumulator._0926_,33.76
accumulator._0943_,33.74
accumulator._0980_,33.695
accumulator._0911_,33.58
scaleAdd._333_,33.16
accumulator.io_inMant\[0\],33.14
accumulator._0232_,33.04
accumulator._0247_,33
accumulator._0934_,32.84
accumulator.io_inMant\[6\],32.82
accumulator._0300_,32.72
accumulator._0208_,32.66
accumulator._0721_,32.66
accumulator._0769_,32.64
accumulator._0240_,32.52
accumulator._0188_,32.4
accumulator._1139_,32.34
accumulator._0065_,32.16
accumulator._0725_,32.08
accumulator._0362_,31.955
accumulator._0582_,31.72
accumulator._0707_,31.72
accumulator._0371_,31.66
accumulator._0614_,31.66
scaleAdd._107_,31.62
scaleAdd._244_,31.5
scaleAdd._196_,31.42
accumulator.io_inMant\[16\],31.35
accumulator._0664_,31.34
accumulator._1184_,31.32
accumulator._0719_,31.26
scaleAdd._332_,31.205
accumulator._0682_,31.2
accumulator._0685_,31.12
accumulator._0481_,31.08
accumulator._0759_,31.08
accumulator._0292_,30.92
accumulator.io_inMant\[2\],30.8
accumulator._0663_,30.78
accumulator._0162_,30.74
net55,30.74
accumulator._0824_,30.625
accumulator._0142_,30.6
accumulator._0499_,30.58
accumulator.io_inMant\[3\],30.52
accumulator._0879_,30.5
accumulator._0190_,30.4
accumulator._0604_,30.32
accumulator._1153_,30.3
accumulator._1140_,30.28
accumulator._0809_,30.16
accumulator._0206_,29.74
accumulator.io_inMant\[9\],29.74
scaleAdd._020_,29.72
accumulator._0373_,29.7
accumulator._0073_,29.62
accumulator._0697_,29.54
accumulator._0198_,29.49
accumulator._0900_,29.48
scaleAdd._013_,29.32
accumulator._0950_,29.24
accumulator._0639_,29.16
accumulator._0306_,29.12
accumulator._0626_,29.08
accumulator._0963_,29.08
scaleAdd._320_,29
accumulator._0075_,28.98
accumulator._0871_,28.97
accumulator._0425_,28.71
accumulator._0124_,28.64
scaleAdd._055_,28.54
accumulator.io_inMant\[15\],28.495
accumulator._0757_,28.48
accumulator._1008_,28.34
accumulator._0985_,28.22
accumulator._0137_,28.14
accumulator._0180_,28.14
